n,U
46000,16914
46000,16936
46000,16899
46000,16984
46000,16970
46000,16864
46000,16936
46000,16852
46000,16867
46000,16965
46000,16920
46000,16828
46000,16903
46000,16813
46000,16849
46000,16968
46000,16874
46000,16896
46000,16891
46000,17027
46000,16889
47000,17354
47000,17273
47000,17456
47000,17409
47000,17296
47000,17276
47000,17156
47000,17169
47000,17289
47000,17281
47000,17418
47000,17248
47000,17313
47000,17381
47000,17224
47000,17343
47000,17323
47000,17251
47000,17249
47000,17186
47000,17201
47000,17177
47000,17265
47000,17355
47000,17263
47000,17369
47000,17223
47000,17284
47000,17295
47000,17329
47000,17247
47000,17257
47000,17288
47000,17276
47000,17244
47000,17254
47000,17215
47000,17296
47000,17313
47000,17279
47000,17277
47000,17335
47000,17440
47000,17319
47000,17298
