n,C-D
35000,120870
35000,70383
35000,94030
35000,32067
35000,150078
35000,118055
35000,165257
35000,127722
35000,23600
35000,99453
35000,76148
35000,139053
35000,54933
35000,138076
35000,63026
35000,196674
35000,102415
35000,137864
35000,55820
35000,57540
35000,131599
35000,163386
35000,75693
35000,115978
35000,121291
35000,142512
35000,101061
35000,70411
35000,99176
35000,109670
35000,82801
35000,151325
35000,112090
35000,110810
35000,130113
35000,51702
35000,44074
35000,86257
35000,127930
35000,100621
35000,176574
35000,174311
35000,67580
36000,32226
36000,162350
36000,110870
36000,32816
36000,152290
36000,68923
36000,128571
36000,47258
36000,61967
36000,52732
36000,66062
36000,124858
36000,92418
36000,31235
36000,68835
36000,252327
36000,100738
36000,134882
36000,105708
36000,47360
36000,49663
36000,79355
36000,110031
36000,77663
36000,202211
36000,97750
36000,161219
36000,22465
36000,99637
36000,174421
36000,237564
36000,139651
36000,83590
36000,73344
36000,116654
36000,137781
36000,132485
36000,6293
36000,41966
36000,145958
36000,70376
36000,28979
36000,61154
36000,83535
36000,89790
36000,201147
36000,72510
36000,209463
36000,11053
36000,96608
37000,133677
37000,53691
37000,191037
37000,91035
37000,95925
37000,41084
37000,180131
37000,82001
37000,25677
37000,207412
37000,24249
37000,101302
37000,52909
37000,61787
37000,85585
37000,28233
37000,84203
37000,67472
37000,103179
37000,146015
37000,216779
37000,31266
37000,178716
37000,24653
37000,9062
37000,66889
37000,126692
37000,80840
37000,133556
37000,67381
37000,71139
37000,55777
37000,113039
37000,159620
37000,187883
37000,69985
37000,68734
37000,95768
37000,356536
37000,110188
37000,56863
37000,67542
37000,239689
37000,224608
37000,136963
37000,73857
37000,18098
37000,25893
37000,28467
37000,84057
38000,88668
38000,36273
38000,154192
38000,31899
38000,90680
38000,156853
38000,314143
38000,51544
38000,191134
38000,52288
38000,110665
38000,129146
38000,108959
38000,162046
38000,61167
38000,184333
38000,87025
38000,90270
38000,140290
38000,48803
38000,95616
38000,63212
38000,31337
38000,44967
38000,16575
38000,25389
38000,247246
38000,83594
38000,182580
38000,112836
38000,86279
38000,98962
38000,184688
38000,120265
38000,176132
38000,198069
38000,61139
38000,144733
38000,11993
38000,140545
38000,39688
38000,129486
38000,20222
38000,52510
38000,199939
38000,159082
38000,67136
38000,147229
38000,143279
38000,157491
39000,74047
39000,81580
39000,164766
39000,3442
39000,21802
39000,207029
39000,183537
39000,77450
39000,50740
39000,42361
39000,144904
39000,35433
39000,93105
39000,131436
39000,165668
39000,153181
39000,65069
39000,126777
39000,115675
39000,188116
39000,36125
39000,87808
39000,66506
39000,41561
39000,121220
39000,272062
39000,142267
39000,138939
39000,151664
39000,112004
39000,86505
39000,67111
39000,96719
39000,169824
39000,124246
39000,143960
39000,86614
39000,39333
39000,135463
39000,63314
39000,74992
39000,116115
39000,64506
39000,78199
39000,40363
